,v,vw,o,c,h,l,t,n
0,93153920.0,398.7872,401.15,398.49,402.31,394.49,1668488400000,751098
1,68508454.0,396.0919,396.78,395.45,397.78,394.79,1668574800000,485119
2,74426055.0,392.8118,390.46,394.24,394.95,390.14,1668661200000,499521
3,92442751.0,395.404,397.74,396.03,397.81,393.04,1668747600000,525088
4,51152189.0,394.533,394.64,394.59,395.82,392.66,1669006800000,401648
5,60420325.0,398.2376,396.63,399.9,400.07,395.1527,1669093200000,416889
6,67212628.0,401.5769,399.55,402.42,402.93,399.31,1669179600000,476623
7,30545434.0,402.273,401.83,402.33,402.91,401.535,1669352400000,184647
8,68021749.0,397.8797,399.09,395.91,400.81,395.11,1669611600000,441562
9,52310039.0,395.1758,396.05,395.23,397.3,393.3,1669698000000,421324
10,144105353.0,401.7814,395.49,407.68,407.68,393.48,1669784400000,814129
11,75908170.0,407.3717,408.77,407.38,410.0,404.75,1669870800000,600441
12,83492731.0,405.1101,402.25,406.91,407.86,402.14,1669957200000,574460
13,77039815.0,401.4661,403.95,399.59,404.93,398.17,1670216400000,553484
14,77048217.0,394.8485,399.42,393.83,399.99,391.64,1670302800000,613991
15,65855396.0,393.4367,392.94,393.16,395.64,391.97,1670389200000,486278
16,60737912.0,395.7063,395.14,396.24,397.36,393.2684,1670475600000,463709
17,80793733.0,395.1955,394.94,393.28,397.62,393.15,1670562000000,485405
18,73915035.0,396.2128,394.11,398.95,398.95,393.412,1670821200000,442289
19,123649534.0,403.5676,410.22,401.97,410.49,399.07,1670907600000,894904
20,107711349.0,401.1302,401.61,399.4,405.5,396.31,1670994000000,851105
21,117015889.0,390.8991,394.3,389.63,395.25,387.885,1671080400000,851155
22,119852952.0,383.747,385.18,383.27,386.575,381.04,1671166800000,746659
23,79831403.0,380.603,383.47,380.02,383.82,378.28,1671426000000,521297
24,73927240.0,380.6305,379.23,380.54,382.23,377.85,1671512400000,513482
25,77836645.0,385.469,383.25,386.23,387.41,382.69,1671598800000,478297
26,100105855.0,379.6225,383.05,380.72,386.2134,374.77,1671685200000,679688
27,59827329.0,381.5261,379.65,382.91,383.06,378.03,1671771600000,441416
28,51540780.0,381.7774,382.79,381.4,383.15,379.65,1672117200000,428996
29,70911520.0,379.059,381.33,376.66,383.39,376.42,1672203600000,503138
30,66470557.0,382.4267,379.63,383.44,384.35,379.08,1672290000000,481639
31,84022205.0,381.2185,380.64,382.43,382.58,378.43,1672376400000,548975
32,74850731.0,380.9576,384.37,380.82,386.43,377.831,1672722000000,590240
33,85934098.0,383.1494,383.18,383.76,385.88,380.0,1672808400000,632808
34,76275354.0,380.2625,381.72,379.38,381.84,378.76,1672894800000,530896
35,104052662.0,385.2463,382.61,388.08,389.25,379.4127,1672981200000,687390
36,73978071.0,390.3628,390.37,387.86,393.7,387.67,1673240400000,549428
37,65298094.0,389.0824,387.25,390.58,390.65,386.27,1673326800000,471958
38,68702980.0,393.3003,392.23,395.52,395.6,391.38,1673413200000,452701
