,v,vw,o,c,h,l,t,n
0,97130503.0,447.8699,446.32,448.73,450.06,446.09,1699938000000,653301
1,77327573.0,450.0195,450.11,449.68,451.38,448.8,1700024400000,555373
2,66654468.0,449.4747,449.22,450.23,450.56,448.12,1700110800000,507743
3,83193902.0,450.5304,450.24,450.79,451.42,449.29,1700197200000,439852
4,69614633.0,453.2957,450.53,454.26,455.125,450.52,1700456400000,488761
5,49244639.0,453.0274,453.1842,453.27,454.131,451.9599,1700542800000,405390
6,59446573.0,455.0336,454.98,455.02,456.38,453.8895,1700629200000,479662
7,29667375.0,455.097,455.07,455.3,455.5,454.73,1700802000000,190767
8,50412985.0,454.8288,454.65,454.48,455.4901,454.0799,1701061200000,400697
9,62083811.0,454.7221,454.08,454.93,456.27,453.5,1701147600000,461129
10,63140992.0,455.8178,457.15,454.61,458.32,454.2,1701234000000,455446
11,79752700.0,455.1457,455.48,456.4,456.76,453.34,1701320400000,516017
12,88983400.0,457.8696,455.77,459.1,459.65,455.16,1701406800000,606481
13,72430888.0,456.1909,455.6,456.69,459.1206,454.34,1701666000000,538574
14,69793469.0,456.3197,455.26,456.6,457.59,454.87,1701752400000,483241
15,69124685.0,456.1309,458.81,454.76,458.84,454.31,1701838800000,465899
16,66475446.0,457.6646,456.91,458.23,458.9,456.29,1701925200000,458077
17,82769404.0,459.2764,457.46,460.2,460.745,457.21,1702011600000,525608
18,64895247.0,460.922,459.69,461.99,462.17,459.47,1702270800000,461245
19,68327617.0,462.9171,461.63,464.1,464.2,460.6,1702357200000,438135
20,93221960.0,467.5616,464.49,470.5,470.7599,464.12,1702443600000,662495
21,118424368.0,471.7115,472.5,472.01,473.73,469.25,1702530000000,713136
22,141553673.0,469.3495,469.49,469.33,470.7,467.4263,1702616400000,669179
23,70375285.0,471.856,470.98,471.97,472.98,469.8929,1702875600000,459240
24,55261805.0,473.9772,472.53,474.84,474.92,472.45,1702962000000,416102
25,102920959.0,471.6749,473.96,468.26,475.895,467.82,1703048400000,666863
26,86136465.0,471.2265,471.33,472.7,472.975,468.84,1703134800000,600896
27,67160419.0,473.7998,473.86,473.65,475.38,471.7,1703221200000,486178
28,55386952.0,475.1113,474.07,475.65,476.58,473.99,1703566800000,348986
29,67999311.0,475.7704,475.44,476.51,476.66,474.89,1703653200000,425536
30,77158116.0,476.7747,476.88,476.69,477.55,476.26,1703739600000,374240
31,122133149.0,475.3637,476.49,475.31,477.03,473.3,1703826000000,604831
32,122985393.0,472.5097,472.16,472.65,473.67,470.49,1704171600000,657584
33,103577866.0,469.8983,470.43,468.79,471.19,468.17,1704258000000,656569
34,84202339.0,468.5539,468.3,467.28,470.96,467.05,1704344400000,536469
35,86118913.0,468.0779,467.49,467.92,470.44,466.43,1704430800000,562579
36,74667074.0,471.969,468.43,474.6,474.75,468.3,1704690000000,523805
37,65613439.0,473.5367,471.87,473.88,474.93,471.35,1704776400000,448471
38,67300640.0,475.6819,474.16,476.56,477.4481,473.87,1704862800000,470044
39,77910013.0,475.3154,477.59,476.35,478.12,472.26,1704949200000,576611
40,58026420.0,476.5875,477.84,476.68,478.6,475.23,1705035600000,470855
41,84814870.0,474.9136,475.26,474.93,476.6098,473.06,1705381200000,592231
42,68843871.0,471.7731,471.82,472.29,472.79,469.87,1705467600000,520417
43,91856248.0,474.7458,474.01,476.49,477.06,472.42,1705554000000,558707
44,110834483.0,479.9667,477.65,482.43,482.72,476.5374,1705640400000,608468
