,v,vw,o,c,h,l,t,n
0,1998.0,440.891,440.5,440.96,440.97,440.5,1699952400000,54
1,1783.0,440.9017,440.93,440.89,440.93,440.89,1699952460000,15
2,1363.0,440.928,440.93,440.91,440.94,440.91,1699952520000,24
3,950.0,440.9555,440.96,440.95,440.96,440.95,1699952640000,11
4,2217.0,440.9815,441.02,441.01,441.02,440.94,1699952700000,26
5,1225.0,440.9947,440.93,441.02,441.02,440.93,1699952760000,17
6,4310.0,441.0204,440.99,441.04,441.06,440.99,1699952820000,69
7,1737.0,441.0129,441.03,441.01,441.03,440.99,1699952880000,18
8,1997.0,441.1008,441.09,441.11,441.11,441.09,1699952940000,25
9,2791.0,441.1579,441.16,441.18,441.18,441.12,1699953000000,48
10,2747.0,441.1842,441.2,441.22,441.22,441.13,1699953060000,32
11,3912.0,441.1811,441.16,441.19,441.24,441.14,1699953120000,61
12,500.0,441.258,441.25,441.27,441.27,441.25,1699953180000,7
13,1275.0,441.2133,441.19,441.23,441.23,441.19,1699953240000,21
14,3353.0,441.2535,441.23,441.28,441.29,441.23,1699953300000,45
15,2181.0,441.2679,441.25,441.3,441.3,441.25,1699953360000,27
16,1745.0,441.2716,441.26,441.26,441.3,441.26,1699953420000,54
17,1521.0,441.3115,441.33,441.32,441.33,441.27,1699953480000,27
18,1016.0,441.3128,441.29,441.36,441.36,441.29,1699953540000,27
19,1194.0,441.3287,441.36,441.32,441.36,441.28,1699953600000,29
20,1227.0,441.3085,441.28,441.36,441.36,441.28,1699953660000,18
21,2262.0,441.3646,441.39,441.32,441.39,441.32,1699953720000,44
22,1364.0,441.297,441.32,441.29,441.32,441.25,1699953780000,20
23,530.0,441.2291,441.23,441.23,441.23,441.23,1699953840000,15
24,1172.0,441.2141,441.26,441.19,441.26,441.19,1699953900000,21
25,1885.0,441.1759,441.2,441.2,441.2,441.14,1699953960000,28
26,3093.0,441.21,441.15,441.24,441.24,441.15,1699954020000,28
27,2190.0,441.1713,441.2,441.21,441.21,441.15,1699954080000,37
28,1752.0,441.2175,441.17,441.27,441.27,441.17,1699954140000,27
29,1820.0,441.1625,441.19,441.15,441.19,441.09,1699954200000,27
30,2279.0,441.1424,441.12,441.1,441.17,441.1,1699954260000,34
31,331.0,441.0904,441.09,441.09,441.09,441.09,1699954320000,10
32,2763.0,441.0933,441.14,441.05,441.14,441.05,1699954380000,48
33,725.0,441.08,441.08,441.08,441.08,441.08,1699954440000,11
34,1317.0,441.0269,441.02,441.05,441.05,441.02,1699954500000,22
35,369.0,441.0308,441.02,441.03,441.03,441.02,1699954560000,6
36,2386.0,440.9824,440.97,440.99,440.99,440.97,1699954620000,17
37,411.0,441.1554,441.2,441.11,441.2,441.11,1699954680000,7
38,206.0,441.1,441.1,441.1,441.1,441.1,1699954740000,3
39,332.0,441.062,441.08,441.08,441.08,441.08,1699955160000,20
40,439.0,441.2382,441.24,441.24,441.24,441.24,1699955520000,10
41,383.0,441.1119,441.13,441.13,441.13,441.13,1699955760000,17
42,386.0,441.0882,441.11,441.08,441.11,441.08,1699955820000,13
43,1212.0,441.198,441.2,441.21,441.21,441.2,1699956000000,26
44,314.0,441.0598,441.04,441.04,441.04,441.04,1699956120000,22
45,443.0,440.9811,441.0,441.0,441.0,441.0,1699956480000,19
46,4904.0,440.9506,440.98,440.95,440.98,440.95,1699956660000,14
47,503.0,441.0398,441.04,441.04,441.04,441.04,1699956900000,4
48,271.0,441.0775,441.08,441.08,441.08,441.08,1699957140000,7
49,321.0,441.1594,441.16,441.16,441.16,441.16,1699957260000,4
50,203.0,441.18,441.18,441.18,441.18,441.18,1699957320000,2
51,1000.0,441.209,441.2,441.22,441.22,441.2,1699957380000,4
52,3711.0,441.2875,441.28,441.29,441.29,441.28,1699957500000,18
53,1610.0,441.29,441.29,441.29,441.29,441.29,1699957560000,6
54,342.0,441.3031,441.29,441.29,441.29,441.29,1699957620000,10
55,245.0,441.2906,441.29,441.29,441.29,441.29,1699957800000,19
56,346.0,441.1957,441.18,441.18,441.18,441.18,1699957920000,15
57,222.0,441.0812,441.06,441.06,441.06,441.06,1699957980000,9
58,202.0,441.07,441.07,441.07,441.07,441.07,1699958040000,3
59,575.0,441.0519,441.05,441.05,441.05,441.05,1699958100000,4
60,431.0,441.0105,441.0,441.02,441.02,441.0,1699958340000,5
61,2852.0,441.0004,441.0,441.0,441.0,441.0,1699958460000,6
62,1702.0,441.0,441.0,441.0,441.0,441.0,1699958520000,3
63,656.0,440.7163,440.73,440.73,440.73,440.73,1699958760000,6
64,100.0,440.7,440.7,440.7,440.7,440.7,1699958820000,1
65,730.0,440.7215,440.73,440.7,440.73,440.7,1699958880000,9
66,257.0,440.6102,440.58,440.63,440.63,440.58,1699959120000,4
67,220.0,440.6518,440.63,440.67,440.67,440.63,1699959180000,2
68,505.0,440.72,440.72,440.72,440.72,440.72,1699959420000,3
69,182.0,440.6635,440.66,440.66,440.66,440.66,1699959540000,6
70,135.0,440.7293,440.73,440.73,440.73,440.73,1699959600000,3
71,1138.0,440.7488,440.75,440.75,440.75,440.75,1699959720000,7
72,429.0,440.5159,440.51,440.54,440.54,440.5,1699959900000,10
